Process Name,CPU Usage,GPU Usage,Memory Usage
,,,
LiDAR360.exe,8.916666667,1,14.34857701
LiDAR360.exe,8.791666667,1,14.34857701
LiDAR360.exe,8.591666667,1,14.34857701
LiDAR360.exe,8.725,1,14.34857701
LiDAR360.exe,8.658333333,1,14.34857701
LiDAR360.exe,8.916666667,0,14.34857701
LiDAR360.exe,8.658333333,0,13.92436705
LiDAR360.exe,7.55,1,14.18682428
LiDAR360.exe,8.725,0,14.36247222
LiDAR360.exe,8.725,1,14.36146947
LiDAR360.exe,9.05,0,14.36146947
LiDAR360.exe,8.466666667,0,14.36146947
LiDAR360.exe,8.591666667,0,14.36146947
LiDAR360.exe,8.791666667,0,14.36146947
LiDAR360.exe,9.116666667,0,14.36146947
LiDAR360.exe,8.983333333,0,14.36146947
LiDAR360.exe,8.466666667,0,14.77549677
LiDAR360.exe,8.658333333,0,17.16562906
LiDAR360.exe,8.4,0,14.84881671
LiDAR360.exe,8.466666667,0,15.66309545
LiDAR360.exe,8.983333333,1,15.90690635
LiDAR360.exe,8.716666667,1,15.96122184
LiDAR360.exe,8.725,2,15.96122184
LiDAR360.exe,8.725,9,15.96122184
LiDAR360.exe,8.466666667,1,15.96122184
LiDAR360.exe,9.116666667,10,15.96126959
LiDAR360.exe,8.716666667,0,15.96126959
LiDAR360.exe,8.725,0,15.96126959
LiDAR360.exe,8.658333333,0,15.39106437
LiDAR360.exe,8.841666667,0,16.01016547
LiDAR360.exe,8.983333333,0,16.0089956
LiDAR360.exe,8.591666667,0,16.01792483
LiDAR360.exe,8.658333333,0,16.01792483
LiDAR360.exe,8.983333333,0,16.01792483
LiDAR360.exe,8.725,0,16.01792483
LiDAR360.exe,9.108333333,0,16.01792483
LiDAR360.exe,8.658333333,0,16.01792483
LiDAR360.exe,8.916666667,2,15.60554491
LiDAR360.exe,8.783333333,0,18.44363079
LiDAR360.exe,8.725,0,16.37386439
LiDAR360.exe,8.858333333,1,17.23548714
LiDAR360.exe,8.591666667,2,17.47442755
LiDAR360.exe,8.916666667,1,17.60924934
LiDAR360.exe,8.858333333,2,17.60924934
LiDAR360.exe,8.716666667,0,17.60924934
LiDAR360.exe,8.716666667,1,17.60924934
LiDAR360.exe,8.725,1,17.60924934
LiDAR360.exe,9.05,1,17.60924934
LiDAR360.exe,8.591666667,1,17.21847624
LiDAR360.exe,7.558333333,0,17.08323664
LiDAR360.exe,8.725,0,17.58616228
LiDAR360.exe,8.791666667,0,17.58530278
LiDAR360.exe,9.366666667,0,17.58531471
LiDAR360.exe,8.466666667,0,17.58531471
LiDAR360.exe,8.591666667,0,17.58536246
LiDAR360.exe,8.791666667,0,17.58536246
LiDAR360.exe,8.658333333,0,17.58536246
LiDAR360.exe,9.233333333,0,19.0024596
LiDAR360.exe,8.591666667,0,18.16449691
LiDAR360.exe,8.333333333,0,18.67860796
LiDAR360.exe,8.791666667,1,18.91668887
LiDAR360.exe,8.466666667,1,19.02352923
LiDAR360.exe,8.916666667,1,19.02352923
LiDAR360.exe,8.725,1,19.02352923
LiDAR360.exe,8.591666667,0,19.02352923
LiDAR360.exe,8.85,0,19.02352923
LiDAR360.exe,8.466666667,0,18.68960237
LiDAR360.exe,9.116666667,15,18.96305401
LiDAR360.exe,8.916666667,0,18.96190801
LiDAR360.exe,8.658333333,2,18.96190801
LiDAR360.exe,8.916666667,13,18.96190801
LiDAR360.exe,8.525,0,18.96190801
LiDAR360.exe,8.975,0,18.96190801
LiDAR360.exe,8.716666667,0,20.68194233
LiDAR360.exe,8.591666667,12,7.397125266
LiDAR360.exe,8.716666667,0,7.22928443
LiDAR360.exe,8.591666667,0,7.169310578
LiDAR360.exe,8.266666667,0,7.698522523
LiDAR360.exe,8.725,8,7.880198888
LiDAR360.exe,8.783333333,8,7.91695436
LiDAR360.exe,8.725,0,7.91695436
LiDAR360.exe,8.916666667,12,7.91695436
LiDAR360.exe,8.85,16,7.91695436
LiDAR360.exe,8.591666667,5,7.560847675
LiDAR360.exe,8.916666667,11,8.206700645
LiDAR360.exe,8.725,9,8.214710688
LiDAR360.exe,8.525,3,8.369444182
LiDAR360.exe,8.916666667,6,8.369491932
LiDAR360.exe,8.983333333,13,8.369491932
LiDAR360.exe,9.241666667,1,8.369491932
LiDAR360.exe,8.591666667,2,8.369491932
LiDAR360.exe,8.466666667,0,8.369491932
LiDAR360.exe,8.858333333,11,8.369491932
LiDAR360.exe,8.658333333,2,7.966948486
LiDAR360.exe,9.116666667,1,10.89781239
LiDAR360.exe,7.875,2,10.03937694
LiDAR360.exe,8.783333333,1,10.62736899
LiDAR360.exe,8.783333333,12,10.62266563
LiDAR360.exe,8.591666667,1,10.62257013
LiDAR360.exe,9.116666667,0,10.62257013
LiDAR360.exe,8.658333333,0,10.62257013
LiDAR360.exe,8.658333333,0,10.62257013
LiDAR360.exe,8.916666667,0,10.62257013
LiDAR360.exe,8.791666667,1,10.62258207
LiDAR360.exe,8.983333333,5,10.21938206
LiDAR360.exe,8.458333333,0,10.547567
LiDAR360.exe,8.525,0,10.54596738
LiDAR360.exe,8.791666667,3,10.54582413
LiDAR360.exe,8.458333333,3,10.54582413
LiDAR360.exe,9.233333333,4,10.54582413
LiDAR360.exe,8.658333333,3,10.54582413
LiDAR360.exe,8.916666667,2,10.54582413
LiDAR360.exe,8.916666667,3,10.54582413
LiDAR360.exe,8.591666667,4,11.34408279
LiDAR360.exe,9.116666667,3,12.38711928
LiDAR360.exe,8.525,11,12.25345542
LiDAR360.exe,8.658333333,2,12.24817906
LiDAR360.exe,8.783333333,9,12.24789256
LiDAR360.exe,8.591666667,1,12.24789256
LiDAR360.exe,8.983333333,0,12.24789256
LiDAR360.exe,8.658333333,9,12.24789256
LiDAR360.exe,8.783333333,7,12.24794031
LiDAR360.exe,8.591666667,0,11.78486195
LiDAR360.exe,8.591666667,0,12.19201326
LiDAR360.exe,8.716666667,1,12.19109407
LiDAR360.exe,8.658333333,1,12.19109407
LiDAR360.exe,8.983333333,5,12.19109407
LiDAR360.exe,8.858333333,0,12.19109407
LiDAR360.exe,8.466666667,6,12.19109407
LiDAR360.exe,8.525,17,12.08748877
LiDAR360.exe,8.858333333,1,12.08679639
LiDAR360.exe,9.05,5,12.08679639
LiDAR360.exe,8.85,1,12.08679639
LiDAR360.exe,8.466666667,1,12.08679639
LiDAR360.exe,8.858333333,14,13.70120798
LiDAR360.exe,8.85,0,13.59252924
LiDAR360.exe,9.183333333,0,13.78287221
LiDAR360.exe,8.658333333,0,13.78287221
LiDAR360.exe,8.658333333,0,13.64996042
LiDAR360.exe,8.716666667,0,13.58615464
LiDAR360.exe,8.591666667,1,13.58609495
LiDAR360.exe,8.975,6,13.61704881
LiDAR360.exe,8.716666667,0,13.7636887
LiDAR360.exe,8.658333333,2,13.7636887
LiDAR360.exe,8.725,0,13.74851617
LiDAR360.exe,8.458333333,2,13.74821774
LiDAR360.exe,9.041666667,5,13.74821774
LiDAR360.exe,8.916666667,2,13.65166747
LiDAR360.exe,8.658333333,0,13.5864292
LiDAR360.exe,8.983333333,0,13.58625013
LiDAR360.exe,8.466666667,0,14.61565403
LiDAR360.exe,8.983333333,2,16.91963361
LiDAR360.exe,8.4,0,16.19978026
LiDAR360.exe,2.133333333,0,0.622706215
LiDAR360.exe,0.516666667,0,0.622706215
LiDAR360.exe,0.516666667,0,0.622706215
LiDAR360.exe,0.716666667,0,0.622706215
LiDAR360.exe,0.258333333,0,0.622706215
LiDAR360.exe,0.258333333,0,0.622706215
LiDAR360.exe,0.516666667,0,0.622706215
LiDAR360.exe,0.325,1,0.622706215
LiDAR360.exe,0.583333333,0,0.622706215
LiDAR360.exe,0.908333333,4,0.622706215
LiDAR360.exe,1.425,13,0.62584577
LiDAR360.exe,0.458333333,13,0.627803515
LiDAR360.exe,0.45,13,0.629677698
LiDAR360.exe,0.583333333,13,0.631587693
LiDAR360.exe,0.458333333,13,0.633414126
LiDAR360.exe,0.583333333,12,0.635204747
LiDAR360.exe,0.45,34,0.637007305
LiDAR360.exe,0.516666667,33,0.638809863
LiDAR360.exe,0.391666667,37,0.640624358
LiDAR360.exe,0.45,37,0.642426916
LiDAR360.exe,0.85,33,0.644229474
LiDAR360.exe,0.191666667,33,0.646008158
LiDAR360.exe,0.191666667,34,0.647810716
LiDAR360.exe,0.516666667,34,0.649290962
LiDAR360.exe,0.516666667,33,0.649290962
LiDAR360.exe,0.841666667,34,0.649290962
LiDAR360.exe,0.325,34,0.649290962
LiDAR360.exe,0.325,33,0.649290962
LiDAR360.exe,0.516666667,34,0.649290962
LiDAR360.exe,0.191666667,33,0.649243212
LiDAR360.exe,0.65,33,0.649243212
LiDAR360.exe,0.45,33,0.649243212
LiDAR360.exe,8.533333333,25,3.092616627
LiDAR360.exe,1.233333333,16,2.652076213
LiDAR360.exe,0.133333333,30,2.627914772
LiDAR360.exe,0.775,32,2.62792671
LiDAR360.exe,0.258333333,31,2.627998334
LiDAR360.exe,0.716666667,12,2.628105772
LiDAR360.exe,1.166666667,13,2.631567638
LiDAR360.exe,0.391666667,26,2.631806388
LiDAR360.exe,0.966666667,11,1.81849458
LiDAR360.exe,1.366666667,16,2.736689004
LiDAR360.exe,0.516666667,21,2.441308232
LiDAR360.exe,3.191666667,9,2.638801745
LiDAR360.exe,2.391666667,28,2.926590286
LiDAR360.exe,1.166666667,28,2.684689382
LiDAR360.exe,0.583333333,32,2.68663519
LiDAR360.exe,0.775,41,2.608767069
LiDAR360.exe,0.908333333,20,2.427854703
LiDAR360.exe,0.45,10,2.427854703
LiDAR360.exe,0.908333333,12,2.42687583
LiDAR360.exe,0.775,10,2.439231112
LiDAR360.exe,0.966666667,11,2.439231112
LiDAR360.exe,0.908333333,10,2.437010743
LiDAR360.exe,0.458333333,10,2.439923486
LiDAR360.exe,0.458333333,10,2.44013836
LiDAR360.exe,0.325,10,2.44013836
LiDAR360.exe,0.65,16,2.44013836
LiDAR360.exe,0.516666667,35,2.44013836
LiDAR360.exe,0.133333333,32,2.44013836
LiDAR360.exe,0.775,39,2.44013836
LiDAR360.exe,1.625,16,2.440377109
LiDAR360.exe,1.041666667,13,2.440293547
LiDAR360.exe,0.258333333,11,2.440293547
LiDAR360.exe,7.225,10,2.440580046
LiDAR360.exe,8.658333333,13,2.783507764
LiDAR360.exe,8.858333333,13,2.696674603
LiDAR360.exe,9.308333333,10,2.994263807
LiDAR360.exe,9.05,12,2.853341967
LiDAR360.exe,8.725,12,3.037441638
LiDAR360.exe,8.858333333,33,2.881860584
LiDAR360.exe,8.208333333,31,3.09552937
LiDAR360.exe,9.05,28,3.09552937
LiDAR360.exe,8.716666667,28,2.926065037
LiDAR360.exe,7.875,33,4.748427358
LiDAR360.exe,8.725,29,4.748427358
LiDAR360.exe,8.791666667,27,4.748427358
LiDAR360.exe,9.3,0,4.748427358
LiDAR360.exe,8.075,0,4.748427358
